,,,,,,,,,,,,,,,,,spch snapshot images,,,,,,,,,,,,,,
Age (HAS),DAS,DAS-1,WT Leaf Length (mm),WT Leaf Width (mm),Ln Leaf Width (WT),WT Logistic width,Ln Logistoc width,WT Logistic Length,,Age (HAS),fama Leaf Width (mm),Ln fama leaf width ,Aw,kw,PSTmw,y0w,Age (HAS),Leaf Width (mm),Ln Leaf Width (spch),Blade Length,Blade + Petiole length,Series Name,Date Moved to CER,Time moved to CER,Date Imaged,Time imaged,age at imaging (DAS),DAS-1,Age (HAS),3002_PA Leaf Width,elapsed time (h)
316.65,13.19375,12.19375,5.09,3.17,1.15,3.318297506,1.199451852,5.081130779,,,,,,,,,311.57,0.36,-1.01,0.41,0.48,,,,,,,,,,
316.77,13.19861111,12.19861111,5.74,3.32,1.20,3.321757676,1.200494063,5.086920754,,,,,,,,,311.73,0.30,-1.22,0.38,0.43,,,,,,,,,,
316.88,13.20347222,12.20347222,3.52,2.31,0.84,3.325216981,1.201534929,5.092709723,,,,,,,,,311.88,0.32,-1.15,0.35,0.40,,,,,,,,,,
317.00,13.20833333,12.20833333,5.49,3.58,1.28,3.328675411,1.20257445,5.098497669,,,,,,,,,312.20,0.31,-1.16,0.41,0.46,,,,,,,,,,
317.12,13.21319444,12.21319444,4.75,3.04,1.11,3.332132956,1.203612626,5.104284574,,,,,,,,,312.38,0.43,-0.84,0.50,-,,,,,,,,,,
317.52,13.22986111,12.22986111,5.00,2.99,1.09,3.343980564,1.207161883,5.124117261,,,,,,,,,312.60,0.28,-1.28,0.36,0.41,,,,,,,,,,
340.43,14.18472222,13.18472222,6.87,3.91,1.36,3.994021527,1.384798625,6.218224867,,,,,,,,,312.72,0.41,-0.88,0.49,0.56,,,,,,,,,,
340.55,14.18958333,13.18958333,5.06,3.33,1.20,3.997136069,1.385578122,6.223485683,,,,,,,,,312.93,0.44,-0.83,0.52,0.62,,,,,,,,,,
340.63,14.19305556,13.19305556,6.65,3.84,1.35,3.999359264,1.386134164,6.227240962,,,,,,,,,313.13,0.22,-1.50,0.30,0.38,,,,,,,,,,
340.68,14.19513889,13.19513889,6.99,4.15,1.42,4.000692588,1.386467493,6.229493149,,,,,,,,,334.78,0.24,-1.43,0.32,0.36,,,,,,,,,,
